title,author,pages,publisher
Убить пересмешника,Харпер Ли,281,АСТ
1984,Джордж Оруэлл,328,Азбука
Гордость и предубеждение,Джейн Остин,279,Эксмо
Великий Гэтсби,Фрэнсис Скотт Фицджеральд,180,Азбука
Над пропастью во ржи,Джером Дэвид Сэлинджер,214,Махаон
Моби Дик,Герман Мелвилл,720,Азбука
Война и мир,Лев Толстой,1225,Азбука
Преступление и наказание,Федор Достоевский,671,Азбука
Братья Карамазовы,Федор Достоевский,824,Азбука
Портрет Дориана Грея,Оскар Уайльд,254,Эксмо
Джейн Эйр,Шарлотта Бронте,507,Эксмо
Грозовой перевал,Эмили Бронте,416,Азбука
Большие надежды,Чарльз Диккенс,505,Азбука
Одиссея,Гомер,541,Эксмо
Илиада,Гомер,683,Эксмо
Хоббит,Джон Рональд Руэл Толкин,310,Эксмо
Властелин колец,Джон Рональд Руэл Толкин,1178,Азбука
Гарри Поттер и философский камень,Джоан Роулинг,309,Махаон
Гарри Поттер и тайная комната,Джоан Роулинг,341,Махаон
Голодные игры,Сьюзан Коллинз,374,АСТ
И вспыхнет пламя,Сьюзан Коллинз,391,АСТ
Сойка-пересмешница,Сьюзан Коллинз,400,АСТ
Дюна,Фрэнк Герберт,412,Азбука
Алхимик,Пауло Коэльо,208,Азбука
Бегущий за ветром,Халед Хоссейни,372,Азбука
Тысяча сияющих солнц,Халед Хоссейни,384,Эксмо
Жизнь Пи,Янн Мартел,401,Азбука
Книжный вор,Марк Зусак,552,Азбука
Виноваты звезды,Джон Грин,313,Махаон
Сумерки,Стефани Майер,498,Махаон
Новолуние,Стефани Майер,563,Азбука
Затмение,Стефани Майер,629,Азбука
Рассвет,Стефани Майер,637,АСТ
Перси Джексон и похититель молний,Рик Риордан,357,АСТ
Перси Джексон и море чудовищ,Рик Риордан,279,Эксмо
Код да Винчи,Дэн Браун,489,Эксмо
Ангелы и демоны,Дэн Браун,592,Эксмо
Инферно,Дэн Браун,624,Эксмо
Девушка с татуировкой дракона,Стиг Ларссон,465,Эксмо
